PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1975637,38,F,W,Mount Washington,2,5
1975638,39,M,B,Highland Park,9,2
1975639,50,F,A,Chateau,6,1
1975640,69,F,A,Chateau,6,1
1975641,51,F,A,Chateau,6,1
1975642,88,M,B,,,
1975643,16,M,B,Hazelwood,5,3
1975644,16,M,B,Hazelwood,5,3
1975645,37,M,W,South Side Flats,3,3
1975646,32,M,W,Morningside,7,2
1975647,25,M,B,North Shore,1,1
1975648,22,M,B,North Shore,1,1
1975649,33,M,W,South Side Flats,3,3
1975650,30,F,W,Allegheny Center,1,1
1975651,32,M,W,Allegheny Center,1,1
1975652,28,M,H,Chateau,,
1975653,55,M,B,East Hills,9,2
1975654,58,F,B,Middle Hill,6,3
1975655,48,M,W,Crafton Heights,2,5
1975656,47,F,W,Chateau,6,1
1975657,32,M,W,Central Northside,6,1
1975658,27,M,B,East Hills,9,2
1975659,51,M,B,Chateau,6,1
1975660,33,M,W,Highland Park,7,2
1975661,29,M,B,East Allegheny,1,1
1975662,53,M,B,East Allegheny,1,1
1975663,16,M,B,Marshall-Shadeland,,
1975664,21,M,B,Marshall-Shadeland,,
1975665,19,M,B,Crafton Heights,2,5
1975666,16,M,B,Crafton Heights,2,5
1975667,11,M,W,Perry South,6,1
1975668,26,M,B,Bedford Dwellings,6,3
1975669,30,M,W,Friendship,7,2
1975670,44,F,B,Bedford Dwellings,6,3
1975671,22,M,B,Knoxville,3,5
1975672,30,F,B,South Side Flats,3,3
1975673,20,M,B,Hazelwood,5,3
1975674,27,M,B,Golden Triangle/Civic Arena,3,3
1975675,40,F,B,Bluff,6,3
1975676,37,F,W,East Allegheny,1,1
1975677,49,F,W,East Allegheny,1,1
1975678,39,M,B,Homewood North,9,2
1975679,49,M,B,East Hills,9,2
1975680,23,M,B,Lincoln-Lemington-Belmar,9,2
1975681,23,M,W,Brookline,4,5
1975682,35,M,W,Golden Triangle/Civic Arena,6,6
1975683,33,F,W,Golden Triangle/Civic Arena,6,6
1975684,26,M,B,Chateau,1,1
1975685,22,M,B,Perry South,1,1
1975686,21,F,W,Brookline,4,5
1975687,19,F,B,Marshall-Shadeland,1,1
1975688,53,F,B,Greenfield,5,3
1975689,28,M,B,Middle Hill,6,3
1975690,23,M,B,Chateau,1,1
1975691,21,M,W,Mount Washington,2,5
1975692,25,F,B,Chateau,1,1
1975693,23,M,W,South Side Flats,3,3
1975694,35,F,W,Sheraden,2,5
1975695,34,M,W,North Shore,1,6
1975696,29,F,W,Spring Hill-City View,1,1
1975697,39,M,B,Central Northside,6,1
1975698,22,F,W,Esplen,2,5
1975699,22,F,W,Beechview,4,5
1975700,30,M,W,Beechview,4,5
1975701,25,M,W,Brighton Heights,1,1
1975702,42,F,W,Central Northside,6,1
1975715,19,M,B,Highland Park,7,2
1975716,27,M,W,Beechview,2,5
1975717,53,M,B,Perry South,6,1
1975718,22,M,A,Central Oakland,3,3
1975719,21,M,W,Central Oakland,3,3
1975720,21,M,W,Central Oakland,3,3
